Gene,Late RPCs_spec,Photoreceptor Precursor_spec,RGC_spec,Early RPCs_spec,Amacrine_spec,Muller Glia_spec,Horizontal_spec,Bipolar_spec,Photoreceptor_spec
arid2,0.809654332,0.809654332,0.809654332,0.853271984,0.809654332,0.809654332,0.809654332,0.809654332,0.809654332
gas2l3,0.990750257,0.990750257,0.990750257,0.990750257,0.990750257,0.990750257,0.990750257,0.992895204,0.990750257
fgfr1op2,0.822902391,0.822902391,0.822902391,0.890899796,0.822902391,0.822902391,0.822902391,0.822902391,0.822902391
tm7sf3,0.895833333,0.895833333,0.895833333,0.895833333,0.895833333,0.895833333,0.925689051,0.895833333,0.895833333
med21,0.560073093,0.560073093,0.560073093,0.744785276,0.560073093,0.560073093,0.560073093,0.560073093,0.560073093
pmpcb,0.600883204,0.600883204,0.600883204,0.872113677,0.600883204,0.600883204,0.600883204,0.600883204,0.600883204
dnajc2,0.645043399,0.645043399,0.645043399,0.931492843,0.645043399,0.645043399,0.645043399,0.645043399,0.645043399
nudt4b,0.994671403,0.994671403,0.994671403,0.994671403,0.994671403,0.994671403,0.994671403,0.994671403,0.996118012
ube2nb,0.402314603,0.402314603,0.402314603,0.701086957,0.402314603,0.402314603,0.402314603,0.402314603,0.402314603
mrpl42,0.302878026,0.302878026,0.302878026,0.737171464,0.302878026,0.302878026,0.302878026,0.302878026,0.302878026
pwp1,0.430942592,0.430942592,0.430942592,0.845398773,0.430942592,0.430942592,0.430942592,0.430942592,0.430942592
ano6,0.957399103,0.957399103,0.957399103,0.957399103,0.957399103,0.993756662,0.957399103,0.957399103,0.957399103
si:ch73-177h5.2,0.999847723,0.999847723,0.999847723,1,0.999847723,0.999847723,0.999847723,0.999847723,0.999847723
FAR2,0.925925926,0.925925926,0.925925926,0.925925926,0.925925926,0.925925926,0.971569371,0.925925926,0.925925926
cpsf6,0.388761992,0.388761992,0.388761992,0.62810559,0.388761992,0.388761992,0.388761992,0.388761992,0.388761992
yeats4,0.464291153,0.464291153,0.464291153,0.693251534,0.464291153,0.464291153,0.464291153,0.464291153,0.464291153
kcnc2,0.969720497,0.969720497,0.994692949,0.969720497,0.969720497,0.969720497,0.969720497,0.969720497,0.969720497
frs2a,0.99954317,0.999488753,0.999488753,0.999488753,0.999488753,0.999488753,0.999488753,0.999488753,0.999488753
si:ch73-278m9.1,0.992236025,0.992236025,0.993055556,0.992236025,0.992236025,0.992236025,0.992236025,0.992236025,0.992236025
cmah,0.997757848,0.997757848,0.997757848,0.997757848,0.997757848,0.998458376,0.997757848,0.997757848,0.997757848
glipr1a,0.999847723,0.999847723,0.999847723,0.999897751,0.999847723,0.999847723,0.999847723,0.999847723,0.999847723
krr1,0.702908482,0.702908482,0.702908482,0.934355828,0.702908482,0.702908482,0.702908482,0.702908482,0.702908482
si:ch73-89b15.3,0.998748436,0.999390894,0.998748436,0.998748436,0.998748436,0.998748436,0.998748436,0.998748436,0.998748436
phlda1,0.939440994,0.939440994,0.96626232,0.939440994,0.939440994,0.939440994,0.939440994,0.939440994,0.939440994
nap1l1,0.252169941,0.252169941,0.252169941,0.600613497,0.252169941,0.252169941,0.252169941,0.252169941,0.252169941
OSBPL8,0.990740741,0.990740741,0.990740741,0.990740741,0.990740741,0.990740741,0.994671403,0.990740741,0.990740741
zdhhc17,0.965062112,0.965062112,0.979150872,0.965062112,0.965062112,0.965062112,0.965062112,0.965062112,0.965062112
csrp2,0.706278027,0.706278027,0.706278027,0.706278027,0.706278027,0.96625222,0.706278027,0.706278027,0.706278027
e2f7,0.761534947,0.761534947,0.761534947,0.900613497,0.761534947,0.761534947,0.761534947,0.761534947,0.761534947
cog5,0.974378882,0.974378882,0.976909414,0.974378882,0.974378882,0.974378882,0.974378882,0.974378882,0.974378882
gpr22a,0.940217391,0.940217391,0.991281274,0.940217391,0.940217391,0.940217391,0.940217391,0.940217391,0.940217391
dus4l,0.868585351,0.868585351,0.868585351,0.971273292,0.868585351,0.868585351,0.868585351,0.868585351,0.868585351
bcap29,0.976853967,0.976853967,0.976853967,0.992944785,0.976853967,0.976853967,0.976853967,0.976853967,0.976853967
slco1c1,0.943946188,0.943946188,0.943946188,0.943946188,0.943946188,0.992236025,0.943946188,0.943946188,0.943946188
pde3a,0.992236025,0.992236025,0.995451099,0.992236025,0.992236025,0.992236025,0.992236025,0.992236025,0.992236025
aebp2,0.663621136,0.663621136,0.663621136,0.811335404,0.663621136,0.663621136,0.663621136,0.663621136,0.663621136
plekha5,0.876095119,0.916666667,0.876095119,0.876095119,0.876095119,0.876095119,0.876095119,0.876095119,0.876095119
CABZ01085700.1,0.989906832,0.989906832,0.99537037,0.989906832,0.989906832,0.989906832,0.989906832,0.989906832,0.989906832
fgd4b,0.986801242,0.986801242,0.998862775,0.986801242,0.986801242,0.986801242,0.986801242,0.986801242,0.986801242
pik3cg,0.988789238,0.988789238,0.988789238,0.988789238,0.988789238,0.99537037,0.988789238,0.988789238,0.988789238
nampta,0.985248447,0.985248447,0.990740741,0.985248447,0.985248447,0.985248447,0.985248447,0.985248447,0.985248447
sypl1,0.998629511,0.998629511,0.998629511,1,0.998629511,0.998629511,0.998629511,0.998629511,0.998629511
atxn7l1,0.997757848,0.997757848,0.997757848,0.997757848,0.997757848,0.998748436,0.997757848,0.997757848,0.997757848
znf800b,0.939698492,0.939698492,0.939698492,0.993558282,0.939698492,0.939698492,0.939698492,0.939698492,0.939698492
grm8a,0.989906832,0.989906832,0.993176649,0.989906832,0.989906832,0.989906832,0.989906832,0.989906832,0.989906832
si:dkey-61f9.1,1,1,1,1,1,1,1,1,1
gpr37b,0.968944099,0.968944099,0.992418499,0.968944099,0.968944099,0.968944099,0.968944099,0.968944099,0.968944099
waslb,0.853566959,0.872685185,0.853566959,0.853566959,0.853566959,0.853566959,0.853566959,0.853566959,0.853566959
lmod2b,0.997685185,0.997685185,0.997685185,0.997685185,0.997685185,0.997685185,0.998972251,0.997685185,0.997685185
asb15b,0.999223602,0.999223602,0.999897751,0.999223602,0.999223602,0.999223602,0.999223602,0.999223602,0.999223602
smkr1,0.996118012,0.996118012,0.996193087,0.996118012,0.996118012,0.996118012,0.996118012,0.996118012,0.996118012
cd9b,0.964367291,0.964367291,0.964367291,0.97309417,0.964367291,0.964367291,0.964367291,0.964367291,0.964367291
ano2b,0.857904085,0.857904085,0.857904085,0.857904085,0.857904085,0.857904085,0.857904085,0.857904085,0.974968711
CU468826.3,0.998223801,0.998223801,0.998223801,0.998223801,0.998223801,0.998223801,0.998223801,0.998223801,0.999223602
ntf3,0.802841918,0.802841918,0.802841918,0.802841918,0.802841918,0.802841918,0.802841918,0.802841918,0.953692115
tbc1d30,0.964285714,0.964285714,0.976220275,0.964285714,0.964285714,0.964285714,0.964285714,0.964285714,0.964285714
gnsa,0.889751553,0.889751553,0.925925926,0.889751553,0.889751553,0.889751553,0.889751553,0.889751553,0.889751553
zgc:194209,0.992490613,0.994671403,0.992490613,0.992490613,0.992490613,0.992490613,0.992490613,0.992490613,0.992490613
rassf3,0.994671403,0.994671403,0.994671403,0.994671403,0.994671403,0.994671403,0.994671403,0.994671403,0.996245307
CABZ01020840.1,0.98462007,0.98462007,0.98462007,0.99537037,0.98462007,0.98462007,0.98462007,0.98462007,0.98462007
DGKI,0.998972251,0.998972251,0.998972251,0.998972251,0.998972251,0.998972251,0.998972251,0.999223602,0.998972251
creb3l2,0.970852018,0.970852018,0.970852018,0.970852018,0.970852018,0.971219735,0.970852018,0.970852018,0.970852018
ssbp1,0.400791838,0.400791838,0.400791838,0.794887526,0.400791838,0.400791838,0.400791838,0.400791838,0.400791838
si:ch211-258f14.2,0.982142857,0.982142857,0.98401421,0.982142857,0.982142857,0.982142857,0.982142857,0.982142857,0.982142857
zgc:162331,0.790408526,0.790408526,0.790408526,0.790408526,0.790408526,0.790408526,0.790408526,0.790408526,0.979813665
slc13a4,0.994993742,0.995515695,0.994993742,0.994993742,0.994993742,0.994993742,0.994993742,0.994993742,0.994993742
coa6,0.496269225,0.496269225,0.496269225,0.754884547,0.496269225,0.496269225,0.496269225,0.496269225,0.496269225
ptprz1b,0.951388889,0.951388889,0.951388889,0.951388889,0.951388889,0.951388889,0.975336323,0.951388889,0.951388889
ndufa5,0.308512258,0.308512258,0.308512258,0.435168739,0.308512258,0.308512258,0.308512258,0.308512258,0.308512258
strip2,0.957298137,0.957298137,0.975739196,0.957298137,0.957298137,0.957298137,0.957298137,0.957298137,0.957298137
ahcyl2b,0.85947205,0.85947205,0.877314815,0.85947205,0.85947205,0.85947205,0.85947205,0.85947205,0.85947205
tmem209,0.964215014,0.964215014,0.964215014,0.989059305,0.964215014,0.964215014,0.964215014,0.964215014,0.964215014
ccnd2b,0.995515695,0.995515695,0.995515695,0.995515695,0.995515695,0.997563575,0.995515695,0.995515695,0.995515695
tigarb,0.975788031,0.975788031,0.975788031,0.98447205,0.975788031,0.975788031,0.975788031,0.975788031,0.975788031
fgf6b,1,1,1,1,1,1,1,1,1
fgf23,1,1,1,1,1,1,1,1,1
rad51ap1,0.819704584,0.819704584,0.819704584,0.938445808,0.819704584,0.819704584,0.819704584,0.819704584,0.819704584
galnt8b.1,0.999390894,0.999390894,0.999390894,0.999897751,0.999390894,0.999390894,0.999390894,0.999390894,0.999390894
galnt8b.2,0.99954317,0.99954317,0.99954317,0.999620925,0.99954317,0.99954317,0.99954317,0.99954317,0.99954317
ada2b,0.99537037,0.99537037,0.99537037,0.99537037,0.99537037,0.99537037,0.997496871,0.99537037,0.99537037
atp6v1e1b,0.386645963,0.386645963,0.394316163,0.386645963,0.386645963,0.386645963,0.386645963,0.386645963,0.386645963
si:ch211-214j24.14,0.990523124,0.990523124,0.990523124,0.990523124,0.991717791,0.990523124,0.990523124,0.990523124,0.990523124
ccdc167,0.888990407,0.888990407,0.888990407,0.920807453,0.888990407,0.888990407,0.888990407,0.888990407,0.888990407
snap91b,0.696428571,0.696428571,0.721136767,0.696428571,0.696428571,0.696428571,0.696428571,0.696428571,0.696428571
si:ch211-214j24.15,0.995515695,0.995515695,0.995515695,0.995515695,0.995515695,0.99924185,0.995515695,0.995515695,0.995515695
si:ch211-214j24.10,0.568600579,0.568600579,0.568600579,0.770963705,0.568600579,0.568600579,0.568600579,0.568600579,0.568600579
osgep,0.598142226,0.598142226,0.598142226,0.883333333,0.598142226,0.598142226,0.598142226,0.598142226,0.598142226
apex1,0.09623877,0.09623877,0.09623877,0.505316973,0.09623877,0.09623877,0.09623877,0.09623877,0.09623877
zgc:113263,0.881101377,0.912037037,0.881101377,0.881101377,0.881101377,0.881101377,0.881101377,0.881101377,0.881101377
si:dkey-14d8.1,0.94685549,0.94685549,0.94685549,0.974130879,0.94685549,0.94685549,0.94685549,0.94685549,0.94685549
selenoo2,0.998020405,0.998020405,0.998020405,0.998748436,0.998020405,0.998020405,0.998020405,0.998020405,0.998020405
si:dkey-14d8.20,0.997106746,0.997106746,0.997106746,0.998223801,0.997106746,0.997106746,0.997106746,0.997106746,0.997106746
si:dkey-14d8.22,0.994213492,0.994213492,0.994213492,0.998223801,0.994213492,0.994213492,0.994213492,0.994213492,0.994213492
BX324164.5,1,1,1,1,1,1,1,1,1
mapk11,0.89984472,0.89984472,0.960648148,0.89984472,0.89984472,0.89984472,0.89984472,0.89984472,0.89984472
mapk12b,0.985686006,0.985686006,0.985686006,0.997648262,0.985686006,0.985686006,0.985686006,0.985686006,0.985686006
si:dkey-14d8.6,0.999223602,0.999223602,0.999390894,0.999223602,0.999223602,0.999223602,0.999223602,0.999223602,0.999223602
si:dkey-14d8.7,0.999223602,0.999223602,0.999620925,0.999223602,0.999223602,0.999223602,0.999223602,0.999223602,0.999223602
vegfab,0.977006243,0.977006243,0.977006243,0.991206544,0.977006243,0.977006243,0.977006243,0.977006243,0.977006243
mrps18a,0.619156388,0.619156388,0.619156388,0.892433538,0.619156388,0.619156388,0.619156388,0.619156388,0.619156388
rsph9,0.998223801,0.998223801,0.998223801,0.998223801,0.998223801,0.998223801,0.998223801,0.998223801,0.998934064
tmem63a,0.990406578,0.990406578,0.990406578,0.993273543,0.990406578,0.990406578,0.990406578,0.990406578,0.990406578
pou3f2a,0.993012422,0.993012422,0.99396728,0.993012422,0.993012422,0.993012422,0.993012422,0.993012422,0.993012422
faxca,0.97826087,0.97826087,0.986111111,0.97826087,0.97826087,0.97826087,0.97826087,0.97826087,0.97826087
ccnc,0.870108116,0.870108116,0.870108116,0.903726708,0.870108116,0.870108116,0.870108116,0.870108116,0.870108116
ngs,0.997757848,0.997757848,0.997757848,0.997757848,0.997757848,0.999488753,0.997757848,0.997757848,0.997757848
pgm3,0.934673367,0.934673367,0.934673367,0.975664622,0.934673367,0.934673367,0.934673367,0.934673367,0.934673367
si:ch73-352p4.8,0.914798206,0.914798206,0.914798206,0.914798206,0.914798206,0.92355718,0.914798206,0.914798206,0.914798206
foxm1,0.910309121,0.910224949,0.910224949,0.910224949,0.910224949,0.910224949,0.910224949,0.910224949,0.910224949
si:ch73-352p4.5,0.972437947,0.972437947,0.972437947,0.981186094,0.972437947,0.972437947,0.972437947,0.972437947,0.972437947
pex26,0.941385435,0.941385435,0.941385435,0.941385435,0.941385435,0.941385435,0.941385435,0.941385435,0.946188341
usp18,0.997670807,0.997670807,0.998670757,0.997670807,0.997670807,0.997670807,0.997670807,0.997670807,0.997670807
lyrm5a,0.922643521,0.922643521,0.922643521,0.938664596,0.922643521,0.922643521,0.922643521,0.922643521,0.922643521
slc5a8,0.998748436,0.999847723,0.998748436,0.998748436,0.998748436,0.998748436,0.998748436,0.998748436,0.998748436
utp20,0.913506929,0.913506929,0.913506929,0.982617587,0.913506929,0.913506929,0.913506929,0.913506929,0.913506929
arl1,0.731231917,0.731231917,0.731231917,0.789234268,0.731231917,0.731231917,0.731231917,0.731231917,0.731231917
tfec,0.98462007,0.98462007,0.98462007,0.999386503,0.98462007,0.98462007,0.98462007,0.98462007,0.98462007
MDFIC,0.967717375,0.967717375,0.967717375,0.994785276,0.967717375,0.967717375,0.967717375,0.967717375,0.967717375
foxp2,0.88121118,0.88121118,0.892600206,0.88121118,0.88121118,0.88121118,0.88121118,0.88121118,0.88121118
ppp1r3aa,0.996118012,0.996118012,0.998862775,0.996118012,0.996118012,0.996118012,0.996118012,0.996118012,0.996118012
si:dkey-112e7.2,0.692553677,0.692553677,0.692553677,0.905092593,0.692553677,0.692553677,0.692553677,0.692553677,0.692553677
gpr85,0.802018634,0.802018634,0.847222222,0.802018634,0.802018634,0.802018634,0.802018634,0.802018634,0.802018634
tmem168a,0.999390894,0.999390894,0.999390894,0.999897751,0.999390894,0.999390894,0.999390894,0.999390894,0.999390894
ifrd1,0.619565217,0.619565217,0.623318386,0.619565217,0.619565217,0.619565217,0.619565217,0.619565217,0.619565217
dock4b,0.930555556,0.930555556,0.930555556,0.930555556,0.930555556,0.930555556,0.956195244,0.930555556,0.930555556
lrrn3b,0.996447602,0.996447602,0.996447602,0.996447602,0.996447602,0.996447602,0.996447602,0.996447602,0.997685185
si:ch211-170p16.1,1,1,1,1,1,1,1,1,1
tnni4a,0.994671403,0.994671403,0.994671403,0.994671403,0.994671403,0.994671403,0.994671403,0.994671403,0.996245307
tnnt2e,0.998934064,0.997137014,0.997137014,0.997137014,0.997137014,0.997137014,0.997137014,0.997137014,0.997137014
lta4h,0.748743719,0.748743719,0.748743719,0.917382413,0.748743719,0.748743719,0.748743719,0.748743719,0.748743719
elk3,0.991119005,0.991119005,0.991119005,0.991119005,0.991119005,0.991119005,0.991119005,0.991119005,0.993273543
cdk17,0.998104625,0.998104625,0.998104625,0.998104625,0.998223801,0.998104625,0.998104625,0.998104625,0.998104625
si:ch1073-67j19.1,1,0.999897751,0.999897751,0.999897751,0.999897751,0.999897751,0.999897751,0.999897751,0.999897751
si:ch1073-67j19.2,0.999847723,0.999847723,0.999847723,1,0.999847723,0.999847723,0.999847723,0.999847723,0.999847723
phyh,0.784722222,0.784722222,0.784722222,0.784722222,0.784722222,0.784722222,0.834080717,0.784722222,0.784722222
ucmaa,0.99537037,0.99537037,0.99537037,0.99537037,0.99537037,0.99537037,0.997757848,0.99537037,0.99537037
mcm10,0.871478605,0.871478605,0.871478605,0.98006135,0.871478605,0.871478605,0.871478605,0.871478605,0.871478605
nudt5,0.820627803,0.820627803,0.820627803,0.820627803,0.820627803,0.848637125,0.820627803,0.820627803,0.820627803
cdc123,0.838586874,0.838586874,0.838586874,0.933667084,0.838586874,0.838586874,0.838586874,0.838586874,0.838586874
camk1da,0.962699822,0.962699822,0.962699822,0.962699822,0.962699822,0.962699822,0.962699822,0.962699822,0.991239049
ccdc3a,0.988789238,0.988789238,0.988789238,0.988789238,0.988789238,0.998223801,0.988789238,0.988789238,0.988789238
optn,0.960923623,0.960923623,0.960923623,0.960923623,0.960923623,0.960923623,0.960923623,0.960923623,0.972826087
si:ch211-240l19.8,1,0.999897751,0.999897751,0.999897751,0.999897751,0.999897751,0.999897751,0.999897751,0.999897751
si:ch211-240l19.7,0.999847723,0.999847723,0.999847723,1,0.999847723,0.999847723,0.999847723,0.999847723,0.999847723
si:ch211-240l19.6,0.999695447,0.999695447,0.999695447,1,0.999695447,0.999695447,0.999695447,0.999695447,0.999695447
si:ch211-240l19.5,0.993273543,0.993273543,0.993273543,0.993273543,0.993273543,0.998447205,0.993273543,0.993273543,0.993273543
wnk1b,0.929347826,0.929347826,0.944444444,0.929347826,0.929347826,0.929347826,0.929347826,0.929347826,0.929347826
ninj2,0.999847723,0.999847723,0.999847723,1,0.999847723,0.999847723,0.999847723,0.999847723,0.999847723
ERC1,0.978771797,0.978771797,0.978771797,0.978771797,0.982945028,0.978771797,0.978771797,0.978771797,0.978771797
erc1b,1,1,1,1,1,1,1,1,1
wnt5b,0.996954469,0.996954469,0.996954469,0.998447205,0.996954469,0.996954469,0.996954469,0.996954469,0.996954469
fbxl14b,0.941678087,0.941678087,0.941678087,0.966462168,0.941678087,0.941678087,0.941678087,0.941678087,0.941678087
adipor2,0.664298401,0.664298401,0.664298401,0.664298401,0.664298401,0.664298401,0.664298401,0.664298401,0.784753363
ttll12,0.941373534,0.941373534,0.941373534,0.993273543,0.941373534,0.941373534,0.941373534,0.941373534,0.941373534
pnpla3,0.989492919,0.989492919,0.989492919,0.995515695,0.989492919,0.989492919,0.989492919,0.989492919,0.989492919
sult4a1,0.786490683,0.786490683,0.941243366,0.786490683,0.786490683,0.786490683,0.786490683,0.786490683,0.786490683
mpped1,0.986801242,0.986801242,0.997239264,0.986801242,0.986801242,0.986801242,0.986801242,0.986801242,0.986801242
scube1,0.988425926,0.988425926,0.988425926,0.988425926,0.988425926,0.988425926,0.988627748,0.988425926,0.988425926
samm50l,0.922360248,0.922360248,0.943946188,0.922360248,0.922360248,0.922360248,0.922360248,0.922360248,0.922360248
aldh1l2,0.995341615,0.995341615,0.9969674,0.995341615,0.995341615,0.995341615,0.995341615,0.995341615,0.995341615
si:dkey-48p11.3,0.906045378,0.906045378,0.906045378,0.978629857,0.906045378,0.906045378,0.906045378,0.906045378,0.906045378
slc41a2b,0.998104625,0.998104625,0.998104625,0.998104625,0.999223602,0.998104625,0.998104625,0.998104625,0.998104625
chst11,0.991459627,0.991459627,0.996916752,0.991459627,0.991459627,0.991459627,0.991459627,0.991459627,0.991459627
nfyba,0.458352368,0.458352368,0.458352368,0.577639752,0.458352368,0.458352368,0.458352368,0.458352368,0.458352368
hcfc2,0.977006243,0.977006243,0.977006243,0.993353783,0.977006243,0.977006243,0.977006243,0.977006243,0.977006243
avpr1ab,0.998223801,0.998223801,0.998223801,0.998223801,0.998223801,0.998223801,0.998223801,0.998223801,0.998862775
srgap1b,0.950310559,0.950310559,0.995072024,0.950310559,0.950310559,0.950310559,0.950310559,0.950310559,0.950310559
C4H12orf66,0.983401858,0.983401858,0.983401858,0.988354037,0.983401858,0.983401858,0.983401858,0.983401858,0.983401858
ipo8,0.935185185,0.935185185,0.935185185,0.935185185,0.935185185,0.935185185,0.945652174,0.935185185,0.935185185
tmtc1,0.96853677,0.96853677,0.96853677,0.96853677,0.969720497,0.96853677,0.96853677,0.96853677,0.96853677
zgc:55888,0.998748436,0.999223602,0.998748436,0.998748436,0.998748436,0.998748436,0.998748436,0.998748436,0.998748436
lmf2b,0.830363941,0.830363941,0.830363941,0.929754601,0.830363941,0.830363941,0.830363941,0.830363941,0.830363941
kitlgb,0.984304933,0.984304933,0.984304933,0.984304933,0.984304933,0.998748436,0.984304933,0.984304933,0.984304933
si:ch73-139j3.4,1,1,1,1,1,1,1,1,1
lsm8,0.185625095,0.185625095,0.185625095,0.352453988,0.185625095,0.185625095,0.185625095,0.185625095,0.185625095
tymp,1,1,1,1,1,1,1,1,1
shank3b,0.999223602,0.999223602,0.999238617,0.999223602,0.999223602,0.999223602,0.999223602,0.999223602,0.999223602
cdnf,0.990102025,0.990102025,0.990102025,0.997757848,0.990102025,0.990102025,0.990102025,0.990102025,0.990102025
hspa14,0.492462312,0.492462312,0.492462312,0.853885481,0.492462312,0.492462312,0.492462312,0.492462312,0.492462312
dclre1c,0.977919903,0.977919903,0.977919903,0.982142857,0.977919903,0.977919903,0.977919903,0.977919903,0.977919903
meig1,0.735346359,0.735346359,0.735346359,0.735346359,0.735346359,0.735346359,0.735346359,0.735346359,0.743429287
tmem243b,0.867713004,0.867713004,0.867713004,0.867713004,0.867713004,0.874843554,0.867713004,0.867713004,0.867713004
dmtf1,0.962732919,0.962732919,0.963910461,0.962732919,0.962732919,0.962732919,0.962732919,0.962732919,0.962732919
