Gene,Late RPCs,Photoreceptor Precursor,RGC,Early RPCs,Amacrine,Muller Glia,Horizontal,Bipolar,Photoreceptor
gabra1,0.001635992,0.002503129,0.076086957,0,0.058377559,0.01793722,0.039351852,0.036485098,0.005328597
gabra6b,0,0.001251564,0.002329193,0,0.0015163,0.002242152,0,0.002055498,0.001776199
GABRB2,0,0,0.019409938,0,0.010235027,0,0.00462963,0.000513875,0
si:ch1073-204b8.1,0.000204499,0,0,0.003654637,0,0,0,0,0
sh3pxd2b,0.025869121,0.028785982,0.007763975,0.035632709,0.006065201,0.013452915,0.006944444,0.003597122,0.005328597
stk10,0.000204499,0,0,0.000913659,0.000379075,0,0,0,0.035523979
zmp:0000001268,0,0,0,0,0.000379075,0,0,0,0
stk32a,0,0,0,0,0,0,0,0,0
dpysl3,0.067382413,0.027534418,0.385869565,0.017511801,0.155799848,0.01793722,0.175925926,0.030832477,0.017761989
jakmip2,0.014110429,0.026282854,0.138198758,0.002893254,0.096285064,0.013452915,0.138888889,0.113052415,0.012433393
si:ch73-68b22.2,0.000102249,0.001251564,0,0.000152277,0,0,0,0,0
p4ha2,0.026993865,0.043804756,0.00931677,0.038525963,0.014783927,0.056053812,0.009259259,0.010791367,0.021314387
hspa4a,0.266359918,0.544430538,0.281832298,0.322521699,0.274829416,0.387892377,0.180555556,0.202466598,0.529307282
zcchc10,0.068813906,0.100125156,0.050465839,0.1537993,0.056861259,0.047085202,0.037037037,0.042137718,0.072824156
aff4,0.017177914,0.035043805,0.052018634,0.031521243,0.033358605,0.006726457,0.030092593,0.034429599,0.023090586
FP085421.1,0.000306748,0,0.00310559,0.001522765,0.000379075,0,0.00462963,0.000513875,0.001776199
shroom1,0.001329243,0,0.000776398,0.002131871,0.000379075,0,0,0,0.003552398
sowahaa,0,0,0.000776398,0,0,0,0,0,0
sept8a,0.122801636,0.075093867,0.086956522,0.263742957,0.110310842,0.147982063,0.506944444,0.091469681,0.108348135
ccni2,0.000613497,0,0,0.000609106,0.00075815,0,0,0.000513875,0
stk26,0.016564417,0.007509387,0.000776398,0.022993757,0.0015163,0.013452915,0.002314815,0.001541624,0
tmem185,0.006543967,0.010012516,0.004658385,0.009897975,0.004927976,0.002242152,0.002314815,0.009249743,0.010657194
ankrd46a,0.040593047,0.042553191,0.149068323,0.062890209,0.082259287,0.067264574,0.168981481,0.081192189,0.055062167
atg4a,0.006646217,0.008760951,0.013198758,0.013095782,0.011751327,0.006726457,0.011574074,0.010791367,0.001776199
irs4a,0.000715746,0,0.000776398,0.000761383,0.00075815,0,0,0.000513875,0
si:ch73-362m14.2,0,0,0,0,0,0,0,0,0
gpr185a,0,0,0.001552795,0,0.001137225,0,0,0.000513875,0
si:ch73-362m14.4,0,0,0.00310559,0,0.002653525,0,0,0.001027749,0
htr2cl2,0,0,0,0,0,0,0,0,0
si:ch1073-263o8.2,0.000102249,0,0,0.003654637,0,0,0,0,0
si:dkey-229d11.5,0.000204499,0,0,0.001979595,0,0,0,0,0
CR792441.7,0.000102249,0,0,0.004720573,0,0,0,0,0
si:ch211-263m18.4,0,0,0,0,0,0,0,0,0
si:dkey-229d11.3,0.000306748,0,0,0.001979595,0,0,0,0,0
tmlhe,0.001329243,0,0.000776398,0.002131871,0.000379075,0.002242152,0,0.000513875,0
dkc1,0.306237219,0.121401752,0.085403727,0.90376123,0.160348749,0.038116592,0.020833333,0.042137718,0.03374778
pdlim4,0.000204499,0,0,0.002284148,0,0.002242152,0,0,0
csf1rb,0.000102249,0,0,0.000152277,0,0,0,0,0
sra1,0.028527607,0.027534418,0.011645963,0.075072331,0.007581501,0.013452915,0.002314815,0.003597122,0.014209591
camk2a,0.000102249,0,0.001552795,0.000152277,0.00075815,0,0,0,0.001776199
cdx1b,0.000613497,0,0.000776398,0.000304553,0,0,0,0,0
ik,0.23006135,0.201501877,0.304347826,0.427135678,0.242228961,0.204035874,0.208333333,0.161870504,0.184724689
arsib,0,0,0,0.000304553,0,0,0,0,0
ndufa2,0.377811861,0.269086358,0.414596273,0.651439013,0.387035633,0.30044843,0.381944444,0.23946557,0.460035524
FO704810.1,0,0,0,0,0,0,0,0,0
oatx,0,0,0,0,0,0,0,0,0
fgf1b,0.001226994,0.005006258,0.000776398,0.005938785,0,0.002242152,0,0.000513875,0.017761989
gabra3,0.000102249,0,0.000776398,0,0.001137225,0,0.002314815,0,0
zgc:136410,0,0,0.000776398,0.000152277,0,0,0,0,0
brcc3,0.001226994,0.001251564,0.003881988,0.003350084,0.001137225,0,0,0.001027749,0.001776199
cmc4,0.01595092,0.010012516,0.011645963,0.030150754,0.014025777,0.013452915,0.006944444,0.008735868,0.014209591
fundc2,0.20204499,0.145181477,0.25,0.522003959,0.171341926,0.18161435,0.196759259,0.090441932,0.147424512
TMEM164,0.000306748,0,0,0.001370489,0.001137225,0,0,0,0
spry4,0.043762781,0.017521902,0.190993789,0.153494746,0.072024261,0.257847534,0.108796296,0.019013361,0.039076377
ammecr1,0.084867076,0.09261577,0.150621118,0.213187148,0.090978014,0.02690583,0.071759259,0.085817061,0.081705151
kif4,0.092433538,0.072590738,0.014751553,0.190193391,0.022365428,0.004484305,0.037037037,0.008735868,0.001776199
rnf121,0.096932515,0.113892365,0.156055901,0.21882138,0.106141016,0.103139013,0.069444444,0.0668037,0.170515098
fstl4,0.001738241,0,0.063664596,0.001065936,0.005307051,0,0.064814815,0,0
rapgef6,0.000102249,0,0,0.000152277,0,0,0,0,0
si:ch73-269m14.2,0.031697342,0.012515645,0.056677019,0.054667276,0.036391205,0.040358744,0.041666667,0.021582734,0.01598579
vdac1,0.427402863,0.53942428,0.795807453,0.81239531,0.690674754,0.515695067,0.712962963,0.504624872,0.612788632
si:ch73-269m14.3,0,0,0,0,0,0,0,0,0
si:ch73-269m14.4,0,0,0,0,0,0,0,0,0
tcf7,0.000408998,0,0,0.001827318,0,0,0,0,0
skp1,0.626482618,0.558197747,0.704968944,0.868585351,0.685746778,0.6367713,0.599537037,0.509763618,0.587921847
ube2b,0.013087935,0.016270338,0.014751553,0.013552612,0.012509477,0.015695067,0.023148148,0.008221994,0.01598579
cdkn2aipnl,0.36400818,0.192740926,0.267857143,0.786812852,0.242228961,0.103139013,0.131944444,0.097636177,0.094138544
jade2,0.00204499,0,0.003881988,0.00045683,0.000379075,0,0,0.001027749,0
si:dkey-223p19.1,0.000102249,0,0,0.000152277,0,0,0.002314815,0,0
si:dkey-223p19.2,0.000102249,0,0,0.000152277,0,0,0,0.001027749,0
fnip1,0.010327198,0.023779725,0.026397516,0.02329831,0.014783927,0.013452915,0.025462963,0.009249743,0.06749556
LO018363.2,0,0.001251564,0,0,0,0,0.002314815,0,0
LO018363.1,0.000102249,0.001251564,0,0.000152277,0.000379075,0,0,0,0
irf1b,0.028732106,0.02252816,0.00621118,0.070199482,0.004927976,0.013452915,0.013888889,0.004110997,0.017761989
slc22a5,0.000102249,0,0,0.00045683,0,0,0,0,0
sar1b,0.14805726,0.098873592,0.208074534,0.350997411,0.151630023,0.15470852,0.104166667,0.090441932,0.08348135
sec24a,0.00408998,0.001251564,0.00310559,0.010659357,0.0015163,0,0.002314815,0.002055498,0.003552398
CU302316.1,0.000102249,0.001251564,0,0.000152277,0,0,0,0,0
camlg,0.125051125,0.082603254,0.150621118,0.12699863,0.123578469,0.065022422,0.087962963,0.071942446,0.031971581
ddx46,0.131083845,0.130162703,0.138198758,0.294198264,0.110689917,0.058295964,0.076388889,0.078108941,0.092362345
C21H5orf24,0.000511247,0,0.00310559,0.00045683,0.001895375,0,0,0,0
macroh2a1,0.003169734,0.003754693,0.008540373,0.001065936,0.005686126,0.047085202,0.013888889,0.002055498,0.007104796
pitx1,0.001022495,0.003754693,0.000776398,0.000761383,0.000379075,0,0.002314815,0,0.003552398
txndc15,0.068609407,0.048811014,0.12810559,0.306989493,0.103487491,0.069506726,0.094907407,0.076053443,0.095914742
faxdc2,0.008179959,0.016270338,0.072981366,0.024516522,0.047005307,0.049327354,0.06712963,0.025693731,0.024866785
larp1,0.00408998,0.003754693,0.00931677,0.016141313,0.006823351,0.002242152,0.002314815,0.001541624,0.001776199
sap30l,0.339775051,0.200250313,0.328416149,0.475102787,0.304776346,0.195067265,0.210648148,0.165467626,0.156305506
galnt10,0.000613497,0,0.000776398,0.001218212,0.00075815,0.002242152,0,0.000513875,0.001776199
slc22a4,0,0,0,0.00045683,0.001137225,0,0,0.003597122,0.023090586
slc22a21,0.004294479,0,0.005434783,0.00350236,0.006823351,0,0.002314815,0.003597122,0.001776199
MYG1,0.174233129,0.108886108,0.135093168,0.603624182,0.144048522,0.053811659,0.043981481,0.063720452,0.046181172
prr13,0.005316973,0.005006258,0.00621118,0.017968631,0.005307051,0.00896861,0,0.003083248,0.010657194
sp1,0.01400818,0.007509387,0.004658385,0.070960865,0.004927976,0.00896861,0.006944444,0.003083248,0.010657194
col2a1b,0.029754601,0.030037547,0.017080745,0.070351759,0.012888552,0.080717489,0.013888889,0.016443988,0.014209591
CABZ01072242.1,0,0,0,0,0,0,0,0,0
elmo2,0.004192229,0.005006258,0.079968944,0.006091061,0.050796058,0.011210762,0.032407407,0.013874615,0.010657194
arfgap1,0.000102249,0,0.002329193,0.001065936,0.000379075,0,0,0,0
cdk4,0.000408998,0,0,0.00350236,0,0,0,0,0
tegt,0.095398773,0.058823529,0.092391304,0.127303183,0.06747536,0.100896861,0.050925926,0.049845838,0.094138544
avil,0.00194274,0,0.000776398,0.000152277,0.001137225,0.002242152,0,0.001027749,0
dusp7,0.049795501,0.050062578,0.135093168,0.06852444,0.071645186,0.044843049,0.118055556,0.020554985,0.039076377
alas1,0.077709611,0.155193992,0.178571429,0.300746155,0.139120546,0.165919283,0.155092593,0.083761562,0.245115453
npffl,0.000817996,0.002503129,0,0.000913659,0.000379075,0,0,0.000513875,0.005328597
slc11a2,0.023721881,0.026282854,0.027173913,0.144205878,0.024260804,0.056053812,0.013888889,0.015416238,0.028419183
mettl1,0.087730061,0.018773467,0.025621118,0.341556266,0.031842305,0.006726457,0,0.006166495,0.021314387
poc1a,0.000204499,0,0,0.000761383,0.000379075,0,0,0,0
cyp27b1,0.000408998,0,0,0.00045683,0.00075815,0.002242152,0.002314815,0,0.001776199
pdrg1,0.058486708,0.051314143,0.054347826,0.250799452,0.034116755,0.044843049,0.025462963,0.012332991,0.028419183
CR855375.5,0.000102249,0,0,0,0,0,0,0,0
znf831,0.000102249,0,0,0.000152277,0,0,0,0,0
nuf2,0.137218814,0.088861076,0.01863354,0.26054515,0.018195603,0.013452915,0.039351852,0.012846865,0.001776199
rab43,0.008895706,0.015018773,0.00931677,0.021014162,0.002653525,0.011210762,0.011574074,0.007194245,0.012433393
zgc:77375,0.000817996,0,0.003881988,0.001675042,0.0015163,0.004484305,0,0.001027749,0
isy1,0.109713701,0.073842303,0.058229814,0.277752398,0.064821835,0.024663677,0.039351852,0.030832477,0.037300178
cnbpb,0.625255624,0.524405507,0.577639752,0.922034414,0.511751327,0.48206278,0.592592593,0.344295992,0.46714032
raf1b,0.033026585,0.005006258,0.029503106,0.075529161,0.012509477,0.01793722,0.011574074,0.00668037,0.003552398
CU695207.1,0.000613497,0,0.000776398,0.000913659,0,0,0,0.001027749,0
mkrn2,0.001840491,0.003754693,0.007763975,0.005025126,0.004927976,0.004484305,0.002314815,0.002569373,0.003552398
mkrn2os.1,0,0,0,0,0,0,0,0,0
mkrn2os.2,0.000306748,0,0.000776398,0.000304553,0.000379075,0.002242152,0,0.001027749,0
tsen2,0.015439673,0.018773467,0.01552795,0.046444343,0.014783927,0,0.002314815,0.004110997,0.007104796
pparg,0,0,0.000776398,0,0,0,0,0,0
syn2b,0.000204499,0,0.003881988,0,0.0030326,0,0,0,0
timp4.1,0.000204499,0,0.000776398,0,0,0,0,0,0
timp4.2,0,0,0,0,0,0,0,0,0
timp4.3,0.000408998,0,0.000776398,0.000304553,0.0015163,0,0,0,0
vgll4b,0.130674847,0.068836045,0.050465839,0.163544998,0.034874905,0.132286996,0.069444444,0.017471737,0.031971581
tamm41,0.010531697,0.017521902,0.020962733,0.035175879,0.025777104,0.011210762,0.011574074,0.007708119,0.012433393
atg7,0.016768916,0.018773467,0.050465839,0.035175879,0.026914329,0.033632287,0.032407407,0.016957862,0.019538188
slc6a1b,0.013496933,0.02252816,0.138198758,0.000761383,0.255875663,0.02690583,0.328703704,0.014388489,0.03374778
slc6a11b,0.000102249,0,0.019409938,0,0.00075815,0.004484305,0.002314815,0,0
atp2b2,0.002453988,0.003754693,0.090062112,0.004263743,0.029946929,0.00896861,0.131944444,0.004624872,0.001776199
iars1,0.053783231,0.023779725,0.020962733,0.140398965,0.017437453,0.006726457,0.006944444,0.010277492,0.019538188
rpl29,0.986298569,0.986232791,0.952639752,0.999695447,0.947687642,0.923766816,0.872685185,0.903905447,0.863232682
si:ch211-266k22.6,0.000204499,0,0.005434783,0,0.00075815,0,0,0.002055498,0
ppp1r3db,0.000306748,0,0.001552795,0.000304553,0.00075815,0,0,0.000513875,0
phactr3b,0.015235174,0.015018773,0.35015528,0.026039287,0.216830933,0.042600897,0.326388889,0.041623844,0.014209591
acot8,0.003169734,0.005006258,0.005434783,0.014770824,0.002653525,0.00896861,0.00462963,0.001027749,0
srsf6b,0.389468303,0.384230288,0.391304348,0.71265418,0.410917362,0.237668161,0.44212963,0.338643371,0.326820604
ift52,0.036400818,0.080100125,0.040372671,0.068676717,0.026156179,0.024663677,0.023148148,0.014388489,0.039076377
si:ch73-303b9.1,0.000306748,0,0,0.000304553,0,0,0,0,0
mybl2b,0.095705521,0.03379224,0.008540373,0.187452414,0.016679303,0.004484305,0.013888889,0.001541624,0.003552398
si:dkey-40c23.1,0.001840491,0,0,0.003197807,0.000379075,0,0,0.000513875,0
si:dkey-40c23.2,0.003067485,0,0,0.001065936,0,0.002242152,0,0,0
lrp1aa,0.00593047,0.005006258,0.076086957,0.008222933,0.023123578,0.206278027,0.020833333,0.004110997,0.024866785
rbms2a,0.038139059,0.015018773,0.020962733,0.061671996,0.010235027,0.060538117,0.013888889,0.006166495,0.007104796
faim2b,0,0.001251564,0,0.000152277,0.00075815,0.004484305,0,0,0.019538188
nr1d4b,0.000511247,0.002503129,0.00310559,0.00045683,0.0030326,0.002242152,0.002314815,0.001027749,0.008880995
rargb,0.000204499,0,0,0.000152277,0.000379075,0,0,0,0
calcoco1b,0.000306748,0,0,0.00045683,0,0,0,0.000513875,0
hoxc13b,0.000408998,0,0,0.000152277,0,0,0,0,0
hoxc12b,0,0,0,0,0,0,0,0,0
hoxc11b,0,0,0,0.000152277,0,0,0,0,0
hoxc6b,0.000204499,0.001251564,0,0,0,0,0.002314815,0,0
smug1,0.001840491,0.001251564,0.000776398,0.000913659,0.001137225,0.002242152,0,0.001027749,0
hnrnpa1a,0.141206544,0.102628285,0.288043478,0.320389828,0.248673237,0.076233184,0.12037037,0.195786228,0.037300178
znf740a,0.038139059,0.037546934,0.088509317,0.06502208,0.045489007,0.02690583,0.046296296,0.030318602,0.005328597
igfbp6a,0.000102249,0,0,0,0.000379075,0,0,0,0
pip4k2cb,0,0,0,0,0,0,0,0.001027749,0
ube2v1,0.544887526,0.319148936,0.489906832,0.64367291,0.384003033,0.295964126,0.277777778,0.279033916,0.291296625
csnk2a4,0,0,0,0,0,0,0,0,0
slc2a10,0.000408998,0.001251564,0,0.001827318,0.000379075,0,0,0,0.007104796
tp53rk,0.099182004,0.066332916,0.047360248,0.369879702,0.06595906,0.031390135,0.018518519,0.023638232,0.014209591
SERINC3,0,0.001251564,0,0,0,0,0,0,0.003552398
si:ch73-267c23.10,0.000204499,0.021276596,0.001552795,0,0.000379075,0,0,0,0.056838366
dgkab,0.000204499,0.036295369,0,0.001522765,0.000379075,0.002242152,0.002314815,0.001027749,0.081705151
cnpy2,0.04192229,0.047559449,0.060559006,0.089538602,0.037907506,0.022421525,0.013888889,0.01336074,0.031971581
zgc:113184,0.002147239,0.001251564,0,0.005025126,0,0.004484305,0,0,0
nab2,0.000408998,0,0.000776398,0.000609106,0.001895375,0,0,0,0
dnajc14,0.005419223,0.008760951,0.01242236,0.0149231,0.010235027,0.004484305,0.009259259,0.005652621,0.005328597
si:ch211-160o17.2,0.023415133,0.013767209,0.044254658,0.019643673,0.025018954,0.035874439,0.011574074,0.007194245,0.012433393
si:ch211-160o17.3,0.000306748,0,0.000776398,0,0,0,0,0,0
zgc:193807,0,0,0,0,0,0,0,0,0
si:ch211-160o17.4,0.101329243,0.205256571,0.169254658,0.179229481,0.125852919,0.15470852,0.125,0.097636177,0.241563055
b3galt6,0.006952965,0.006257822,0.01242236,0.009441145,0.006444276,0.002242152,0.006944444,0.003083248,0.001776199
si:ch211-160o17.6,0.000306748,0.007509387,0,0.001218212,0.000379075,0.004484305,0.002314815,0.000513875,0.026642984
tmem167b,0.021472393,0.042553191,0.069099379,0.045226131,0.045868082,0.051569507,0.060185185,0.03340185,0.072824156
mapk14b,0.038957055,0.031289111,0.086956522,0.089081772,0.037907506,0.065022422,0.071759259,0.015930113,0.019538188
srpk1b,0.124437628,0.035043805,0.052795031,0.360590833,0.055344958,0.006726457,0.030092593,0.021582734,0.008880995
lhfpl5a,0.000613497,0,0.00310559,0.000609106,0.00075815,0,0,0,0
kif21b,0.006237219,0.026282854,0.023291925,0.010354804,0.039802881,0.004484305,0.020833333,0.012846865,0.019538188
cpne5b,0.000511247,0,0.017080745,0,0.007581501,0,0.016203704,0,0
timeless,0.0799591,0.040050063,0.031832298,0.184559159,0.03297953,0.029147982,0.041666667,0.008735868,0.019538188
pmela,0.030470348,0.040050063,0.036490683,0.084665753,0.037907506,0.073991031,0.037037037,0.041623844,0.031971581
mmp19,0.000408998,0,0,0.003350084,0,0,0,0,0
cdk2,0.220552147,0.082603254,0.041149068,0.414039896,0.062547384,0.033632287,0.025462963,0.014388489,0.003552398
sarnp,0.361656442,0.271589487,0.297360248,0.631033958,0.282031842,0.109865471,0.222222222,0.211202467,0.092362345
prph,0.002965235,0.001251564,0.074534161,0.001522765,0.0015163,0,0.002314815,0,0.001776199
tuba2,0.023312883,0.01126408,0.420807453,0.008679762,0.172479151,0.00896861,0.074074074,0.01336074,0.014209591
suox,0.012883436,0.010012516,0.00931677,0.029846201,0.009855951,0.013452915,0.009259259,0.003083248,0.007104796
mcrs1,0.092535787,0.057571965,0.102484472,0.148774174,0.083775588,0.065022422,0.071759259,0.060637205,0.071047957
acap3b,0.000204499,0.001251564,0.007763975,0.000152277,0.011372252,0.002242152,0.011574074,0.004110997,0.001776199
pusl1,0.007157464,0.008760951,0.002329193,0.061367443,0.008339651,0.002242152,0.002314815,0.000513875,0.001776199
ddx19,0.191206544,0.11514393,0.121118012,0.48637125,0.108794541,0.058295964,0.074074074,0.069373073,0.092362345
CR558302.1,0,0,0,0,0,0,0,0,0
CAMK2N1,0.003169734,0.006257822,0.151397516,0.001522765,0.086429113,0.006726457,0.00462963,0.006166495,0.007104796
si:dkey-33m11.7,0.000102249,0,0,0,0.000379075,0,0,0,0
si:dkey-33m11.8,0,0,0,0,0.000379075,0,0,0,0
cdab,0.001329243,0.006257822,0.010093168,0.004111466,0.014404852,0.011210762,0.085648148,0.003597122,0
dnajc16l,0.005112474,0.005006258,0.01242236,0.009136592,0.008718726,0.00896861,0.009259259,0.004110997,0.005328597
itih3a,0.000204499,0,0,0,0,0,0,0,0
itih1,0,0,0,0.00045683,0,0,0,0,0
gata2a,0.009202454,0.006257822,0.00931677,0.009441145,0.001895375,0,0.002314815,0.002055498,0
rpn1,0.342126789,0.24155194,0.270962733,0.553982031,0.243366187,0.168161435,0.19212963,0.138232271,0.11722913
pbrm1,0.005010225,0.002503129,0.016304348,0.013400335,0.008339651,0.004484305,0.00462963,0.001541624,0
gnl3,0.135889571,0.050062578,0.055900621,0.67397594,0.081122062,0.035874439,0.032407407,0.016443988,0.017761989
glt8d1,0.015541922,0.003754693,0.005434783,0.052383128,0.004169826,0.00896861,0.039351852,0.001541624,0
spcs1,0.505725971,0.389236546,0.477484472,0.758184864,0.448066717,0.423766816,0.483796296,0.29290853,0.330373002
nek4,0.021165644,0.048811014,0.023291925,0.040048728,0.010993177,0.006726457,0.009259259,0.007194245,0.01598579
camk1b,0.002556237,0.023779725,0.013198758,0.003197807,0.009855951,0.006726457,0.081018519,0.007708119,0.088809947
BX571768.1,0,0,0,0,0,0,0,0,0
ccdc3b,0.001431493,0.003754693,0.000776398,0.000913659,0.00075815,0.006726457,0,0,0.001776199
BX248331.1,0.000102249,0,0,0.001827318,0,0,0,0,0
CT033790.1,0,0,0,0,0,0,0,0,0
